team,wcyear,opponent,GF,GA,possession_number,shot,goal,wentback,timediff,players_behind,possess,Short,Medium,Long,No_passes,champion,round,goaldiff,,timediff,players_behind,passes
Spain,2010,Paraguary,1,0,24,F,F,F,0,3,T,0,0,0,T,T,QF,1,,127,10,0
France,2010,Uruguay,0,0,37,F,F,F,0,4,F,0,0,0,T,F,G,0,,0,0,0
France,2010,Uruguay,0,0,65,F,F,F,0,4,F,0,0,0,T,F,G,0,,11.42453044,6.753028264,0
France,2014,Switerland,5,2,16,T,T,F,0,4,F,0,0,0,T,F,G,3,,11.7695837,2.104231254,0
France,2018,Denmark,0,0,39,F,F,F,0,4,F,0,1,0,F,T,G,0,,,,1
Germany,2014,Brazil,7,1,25,T,T,F,0,4,T,0,0,0,T,T,SF,6,,,,0
Spain,2014,Chile,0,2,12,T,F,F,0,4,T,0,1,0,F,F,G,-2,,,,1
Spain,2018,Morocco,2,2,7,F,F,F,0,4,T,0,0,0,T,F,G,0,,,,0
Spain,2018,Morocco,2,2,48,F,F,F,0,4,T,1,0,0,F,F,G,0,,,,1
France,2010,Uruguay,0,0,34,F,F,F,0,5,F,0,0,0,T,F,G,0,,,,0
France,2010,Uruguay,0,0,36,F,F,F,0,5,F,0,0,0,T,F,G,0,,,,0
France,2010,Uruguay,0,0,61,T,F,F,0,5,F,0,0,0,T,F,G,0,,,,0
France,2018,Uruguay,2,0,15,F,F,T,0,5,F,0,0,0,T,T,QF,2,,,,0
Germany,2018,Sweden,2,1,61,T,F,F,0,5,T,0,0,0,T,F,G,1,,,,0
France,2010,Mexico,0,2,9,F,F,F,0,6,F,0,0,0,T,F,G,-2,,,,0
France,2010,Mexico,0,2,58,F,F,F,0,6,F,0,0,0,T,F,G,-2,,,,0
France,2010,Mexico,0,2,70,T,F,F,0,6,F,0,0,0,T,F,G,-2,,,,0
France,2010,Uruguay,0,0,27,F,F,F,0,6,F,0,1,0,F,F,G,0,,,,1
France,2018,Peru,1,0,16,T,F,F,0,6,F,0,0,0,T,T,G,1,,,,0
Germany,2014,Algeria,2,1,2,F,F,T,0,6,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,32,F,F,F,0,6,T,0,1,0,F,T,S,1,,,,1
France,2010,Mexico,0,2,15,T,F,F,0,7,F,0,0,0,T,F,G,-2,,,,0
France,2010,Mexico,0,2,21,F,F,F,0,7,F,0,0,0,T,F,G,-2,,,,0
France,2010,Mexico,0,2,29,T,F,F,0,7,F,0,0,0,T,F,G,-2,,,,0
France,2010,Uruguay,0,0,13,F,F,F,0,7,F,0,0,0,T,F,G,0,,,,0
France,2010,Uruguay,0,0,41,F,F,F,0,7,F,1,0,0,F,F,G,0,,,,1
France,2010,Uruguay,0,0,43,F,F,F,0,7,F,1,0,0,F,F,G,0,,,,1
France,2010,Uruguay,0,0,55,F,F,F,0,7,F,1,0,0,F,F,G,0,,,,1
France,2010,Uruguay,0,0,62,F,F,F,0,7,F,1,0,0,F,F,G,0,,,,1
France,2018,Argentina,4,3,11,F,F,F,0,7,F,0,0,0,T,T,S,1,,,,0
Germany,2010,Australia,4,0,70,F,F,T,0,7,T,0,1,0,F,F,G,4,,,,1
Germany,2014,Algeria,2,1,122,F,F,F,0,7,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Ghana,2,2,10,F,F,F,0,7,T,0,0,0,T,T,G,0,,,,0
Germany,2014,US,1,0,79,F,F,T,0,7,T,0,0,0,T,T,G,1,,,,0
Spain,2018,Portugal,3,3,87,F,F,T,0,7,T,0,1,0,F,F,G,0,,,,1
France,2010,Mexico,0,2,19,F,F,F,0,8,F,0,0,0,T,F,G,-2,,,,0
France,2010,Uruguay,0,0,14,T,F,F,0,8,F,0,0,0,T,F,G,0,,,,0
France,2010,Uruguay,0,0,51,F,F,F,0,8,F,1,0,0,F,F,G,0,,,,1
France,2018,Australia,2,1,30,F,F,F,0,8,F,0,1,0,F,T,G,1,,,,1
Spain,2010,Paraguary,1,0,39,F,F,T,0,8,T,0,1,0,F,T,QF,1,,,,1
Spain,2010,Paraguary,1,0,52,F,F,T,0,8,T,0,1,0,F,T,QF,1,,,,1
Spain,2010,Portugal,1,0,31,F,F,F,0,8,T,0,1,0,F,T,S,1,,,,1
Spain,2010,Portugal,1,0,54,F,F,T,0,8,T,0,1,0,F,T,S,1,,,,1
Spain,2018,Iran,1,0,38,NA,F,F,0,8,T,0,0,0,T,F,G,1,,,,0
Spain,2018,Russia,1,1,63,F,F,T,0,8,T,0,1,0,F,F,S,0,,,,1
France,2014,Ecuador,0,0,49,T,F,F,0,9,F,0,0,0,T,F,G,0,,,,0
France,2014,Honduras,3,0,88,F,F,T,0,9,F,0,1,0,F,F,G,3,,,,1
France,2018,Uruguay,2,0,8,F,F,F,0,9,F,0,1,0,F,T,QF,2,,,,1
Germany,2018,Korea,0,2,35,F,F,F,0,9,T,0,1,0,F,F,G,-2,,,,1
Spain,2010,Honduras,2,0,5,F,F,T,0,9,T,0,1,0,F,T,G,2,,,,1
France,2018,Argentina,4,3,38,F,F,F,0,10,F,0,1,0,F,T,S,1,,,,1
Spain,2018,Iran,1,0,40,NA,F,T,0,10,T,0,1,0,F,F,G,1,,,,1
Germany,2014,Algeria,2,1,131,F,F,F,1,2,T,0,0,1,F,T,S,1,,,,1
France,2014,Germany,0,1,55,F,F,F,1,3,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Switerland,5,2,53,F,F,F,1,3,F,0,1,0,F,F,G,3,,,,1
France,2014,Switerland,5,2,61,T,F,F,1,3,F,0,1,0,F,F,G,3,,,,1
Germany,2014,Algeria,2,1,4,F,F,F,1,3,T,0,0,1,F,T,S,1,,,,1
Germany,2014,US,1,0,49,F,F,T,1,3,T,0,0,0,T,T,G,1,,,,0
Germany,2018,Mexico,0,1,5,F,F,F,1,3,T,0,1,0,F,F,G,-1,,,,1
France,2010,Mexico,0,2,10,F,F,F,1,4,F,0,0,0,T,F,G,-2,,,,0
France,2014,Ecuador,0,0,66,F,F,F,1,4,F,0,1,0,F,F,G,0,,,,1
France,2014,Ecuador,0,0,97,F,F,F,1,4,F,0,1,0,F,F,G,0,,,,1
France,2014,Switerland,5,2,28,F,F,F,1,4,F,0,1,0,F,F,G,3,,,,1
France,2014,Switerland,5,2,37,F,F,F,1,4,F,0,1,0,F,F,G,3,,,,1
France,2018,Belgium,1,0,62,F,F,F,1,4,F,1,0,0,F,T,SF,1,,,,1
France,2018,Peru,1,0,31,F,F,F,1,4,F,0,1,0,F,T,G,1,,,,1
Germany,2010,England,4,1,26,T,F,F,1,4,T,0,0,0,T,F,S,3,,,,0
Germany,2010,England,4,1,56,F,F,F,1,4,T,0,1,0,F,F,S,3,,,,1
Germany,2010,England,4,1,60,F,F,F,1,4,T,0,0,0,T,F,S,3,,,,0
Germany,2010,Uruguay,3,2,83,F,F,F,1,4,T,0,1,0,F,F,TPP,1,,,,1
Germany,2014,France,1,0,87,F,F,F,1,4,T,0,0,0,T,T,QF,1,,,,0
Germany,2014,Ghana,2,2,64,F,F,F,1,4,T,0,1,0,F,T,G,0,,,,1
Germany,2014,Portgual,4,0,4,F,F,F,1,4,T,0,1,0,F,T,G,4,,,,1
Germany,2014,Portgual,4,0,46,T,F,F,1,4,T,0,0,0,T,T,G,4,,,,0
Germany,2014,US,1,0,102,F,F,F,1,4,T,0,0,0,T,T,G,1,,,,0
Spain,2010,Switzerland,0,1,108,F,F,F,1,4,T,0,1,0,F,T,G,-1,,,,1
Spain,2014,Chile,0,2,15,F,F,F,1,4,T,0,1,0,F,F,G,-2,,,,1
Spain,2014,Chile,0,2,78,F,F,T,1,4,T,0,0,0,T,F,G,-2,,,,0
France,2010,Uruguay,0,0,54,F,F,F,1,5,F,1,0,0,F,F,G,0,,,,1
France,2014,Ecuador,0,0,89,T,F,F,1,5,F,0,1,0,F,F,G,0,,,,1
France,2014,Nigeria,2,0,6,F,F,T,1,5,F,0,1,0,F,F,S,2,,,,1
France,2014,Nigeria,2,0,28,F,F,F,1,5,F,0,0,0,T,F,S,2,,,,0
France,2014,Switerland,5,2,10,F,F,F,1,5,F,0,1,0,F,F,G,3,,,,1
France,2014,Switerland,5,2,49,F,F,F,1,5,F,0,1,0,F,F,G,3,,,,1
France,2018,Argentina,4,3,69,F,F,F,1,5,F,0,1,0,F,T,S,1,,,,1
France,2018,Belgium,1,0,66,F,F,F,1,5,F,0,0,1,F,T,SF,1,,,,1
France,2018,Croatia,4,2,64,F,F,F,1,5,F,0,0,1,F,T,F,2,,,,1
France,2018,Peru,1,0,56,F,F,T,1,5,F,1,1,0,F,T,G,1,,,,2
France,2018,Uruguay,2,0,2,F,F,T,1,5,F,0,1,0,F,T,QF,2,,,,1
France,2018,Uruguay,2,0,31,F,F,F,1,5,F,0,1,0,F,T,QF,2,,,,1
Germany,2010,England,4,1,27,F,F,F,1,5,T,0,0,1,F,F,S,3,,,,1
Germany,2014,Algeria,2,1,3,F,F,F,1,5,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,50,F,F,F,1,5,T,0,0,0,T,T,S,1,,,,0
Germany,2014,Algeria,2,1,56,F,F,F,1,5,T,0,0,0,T,T,S,1,,,,0
Germany,2014,Algeria,2,1,125,F,F,F,1,5,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Argentina,1,0,133,F,F,F,1,5,T,0,1,0,F,T,F,1,,,,1
Germany,2014,France,1,0,53,F,F,F,1,5,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,Portgual,4,0,2,F,F,F,1,5,T,0,1,0,F,T,G,4,,,,1
Germany,2014,Portgual,4,0,28,F,F,F,1,5,T,0,1,0,F,T,G,4,,,,1
Germany,2014,US,1,0,92,F,F,F,1,5,T,0,1,0,F,T,G,1,,,,1
Germany,2018,Mexico,0,1,24,F,F,T,1,5,T,0,1,0,F,F,G,-1,,,,1
Spain,2010,Chile,2,1,2,F,F,F,1,5,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Chile,2,1,53,F,F,T,1,5,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Chile,2,1,92,F,F,F,1,5,T,0,1,0,F,T,G,1,,,,1
Spain,2010,Honduras,2,0,68,F,F,F,1,5,T,0,0,1,F,T,G,2,,,,1
Spain,2010,Portugal,1,0,89,F,F,T,1,5,T,0,1,0,F,T,S,1,,,,1
Spain,2010,Switzerland,0,1,47,F,F,F,1,5,T,0,1,0,F,T,G,-1,,,,1
Spain,2014,Australia,3,0,32,F,F,F,1,5,T,0,2,0,F,F,G,3,,,,2
Spain,2014,Australia,3,0,42,F,F,F,1,5,T,0,1,0,F,F,G,3,,,,1
Spain,2014,Chile,0,2,6,F,F,F,1,5,T,0,1,0,F,F,G,-2,,,,1
Spain,2018,Morocco,2,2,57,F,F,F,1,5,T,0,1,0,F,F,G,0,,,,1
France,2010,South Africa,1,2,10,F,F,F,1,6,F,0,1,0,F,F,G,-1,,,,1
France,2010,Uruguay,0,0,23,T,F,F,1,6,F,0,0,0,T,F,G,0,,,,0
France,2010,Uruguay,0,0,57,F,F,F,1,6,F,1,0,0,F,F,G,0,,,,1
France,2014,Germany,0,1,18,F,F,F,1,6,F,0,1,0,F,F,QF,-1,,,,1
France,2014,Honduras,3,0,42,F,F,F,1,6,F,1,0,0,F,F,G,3,,,,1
France,2014,Nigeria,2,0,7,F,F,F,1,6,F,0,1,0,F,F,S,2,,,,1
France,2014,Nigeria,2,0,12,F,F,F,1,6,F,0,1,0,F,F,S,2,,,,1
France,2014,Switerland,5,2,18,F,F,F,1,6,F,0,1,0,F,F,G,3,,,,1
France,2018,Australia,2,1,15,F,F,F,1,6,F,0,1,0,F,T,G,1,,,,1
France,2018,Croatia,4,2,62,F,F,F,1,6,F,0,0,1,F,T,F,2,,,,1
France,2018,Croatia,4,2,69,F,F,F,1,6,F,0,1,0,F,T,F,2,,,,1
France,2018,Peru,1,0,64,F,F,T,1,6,F,0,1,0,F,T,G,1,,,,1
Germany,2010,Australia,4,0,43,F,F,F,1,6,T,0,0,1,F,F,G,4,,,,1
Germany,2010,Spain,0,1,20,F,F,F,1,6,T,0,0,1,F,F,SF,-1,,,,1
Germany,2010,Spain,0,1,44,F,F,F,1,6,T,0,0,1,F,F,SF,-1,,,,1
Germany,2010,Uruguay,3,2,28,F,F,F,1,6,T,0,0,0,T,F,TPP,1,,,,0
Germany,2014,Algeria,2,1,27,F,F,F,1,6,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,35,F,F,F,1,6,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,39,F,F,F,1,6,T,0,1,0,F,T,S,1,,,,1
Germany,2014,Algeria,2,1,136,F,F,F,1,6,T,0,2,0,F,T,S,1,,,,2
Germany,2014,Argentina,1,0,5,F,F,F,1,6,T,0,1,0,F,T,F,1,,,,1
Germany,2014,Argentina,1,0,62,F,F,T,1,6,T,0,1,0,F,T,F,1,,,,1
Germany,2014,France,1,0,91,F,F,F,1,6,T,0,1,0,F,T,QF,1,,,,1
Germany,2014,Ghana,2,2,96,F,F,F,1,6,T,0,1,0,F,T,G,0,,,,1
Spain,2010,Honduras,2,0,11,F,F,F,1,6,T,0,1,0,F,T,G,2,,,,1
Spain,2010,Honduras,2,0,51,F,F,F,1,6,T,0,0,0,T,T,G,2,,,,0
Spain,2010,Netherlands,1,0,61,F,F,T,1,6,T,0,0,0,T,T,F,1,,,,0
